Variable Name,Variable Label,Type,"Codelist /
Controlled Terms",Core,CDISC Notes
TRxxSTMF,"Time 1st
Exposure Period xx Imput. Flag",Char,(TIMEFL),Cond,The level of imputation of time of first exposure in period xx.  See General Timing Variable Convention #7.
TRxxEDT,"Date of Last Exposure in
Period xx",Num,,Cond,"Date of last exposure in period xx.  TRxxEDT and/or TRxxEDTM are required in trial designs where multiple treatments are given to the same subject, such as a crossover
design."
TRxxETM,"Time of Last
Exposure in Period xx",Num,,Cond,"The ending time of exposure in period xx.  TRxxETM and/or TRxxEDTM are required
in trial designs where multiple treatments are given to the same subject, such as a crossover design, and ending time is important to the analysis."
TRxxEDTM,"Datetime of Last
Exposure in Period xx",Num,,Cond,"The datetime of last exposure to treatment in period xx.  TRxxEDT and/or TRxxEDTM
are required in trial designs where multiple treatments are given to the same subject, such as a crossover design."
TRxxEDTF,"Date Last
Exposure Period xx Imput. Flag",Char,(DATEFL),Cond,The level of imputation of date of last exposure in period xx.  See General Timing Variable Convention #6.
TRxxETMF,"Time Last Exposure Period
xx Imput. Flag",Char,(TIMEFL),Cond,The level of imputation of time of last exposure in period xx.  See General Timing Variable Convention #7.
APxxSDT,"Period xx Start
Date",Num,,Perm,The starting date of period xx.
APxxSTM,Period xx Start Time,Num,,Perm,The starting time of period xx.
APxxSDTM,"Period xx Start
Datetime",Num,,Perm,The starting datetime of period xx.
APxxSDTF,"Period xx Start
Date Imput. Flag",Char,(DATEFL),Cond,"The level of imputation of period xx start date.  See General Timing Variable Convention
#6."
APxxSTMF,"Period xx Start
Time Imput. Flag",Char,(TIMEFL),Cond,"The level of imputation of period xx start time.  See General Timing Variable Convention
#7."
APxxEDT,"Period xx End
Date",Num,,Perm,The ending date of period xx.
APxxETM,"Period xx End
Time",Num,,Perm,The ending time of period xx.
APxxEDTM,"Period xx End
Date/Time",Num,,Perm,The ending datetime of period xx.
APxxEDTF,"Period xx End
Date Imput. Flag",Char,(DATEFL),Cond,"The level of imputation of period xx end date.  See General Timing Variable Convention
#6."
APxxETMF,"Period End Time
Imput. Flag",Char,(TIMEFL),Cond,"The level of imputation of period xx end time.  See General Timing Variable Convention
#7."
