Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,CDISC Notes,Core
SUREASND,Reason Substance Use Not Collected,Char,,Record Qualifier,Describes the reason substance use was not collected. Used in conjunction with SUSTAT when value of SUSTAT is NOT DONE.,Perm
SUCLAS,Substance Use Class,Char,*,Variable Qualifier,"Substance use class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, then follow Section 4: 4.1.2.8.3, Multiple Values For A Non-Result Qualifier
Variable or omit SUCLAS.",Perm
SUCLASCD,Substance Use Class Code,Char,*,Variable Qualifier,Code corresponding to SUCLAS. May be obtained from coding.,Perm
SUDOSE,Substance Use Consumption,Num,,Record Qualifier,Amount of SUTRT consumed. Not populated if SUDOSTXT is populated.,Perm
SUDOSTXT,Substance Use Consumption Text,Char,,Record Qualifier,Substance use consumption amounts or a range of consumption information collected in text form. Not populated if SUDOSE is populated.,Perm
SUDOSU,Consumption Units,Char,(UNIT),"Variable
Qualifier","Units for SUDOSE, SUDOSTOT, or SUDOSTXT. Examples:  OUNCES,
CIGARETTE EQUIVALENTS, GRAMS.",Perm
SUDOSFRM,Dose Form,Char,*,Variable Qualifier,"Dose form for SUTRT. Examples: INJECTABLE, LIQUID, or POWDER.",Perm
SUDOSFRQ,Use Frequency Per Interval,Char,(FREQ),Variable Qualifier,Usually expressed as the number of repeated administrations of SUDOSE within a specific time period. Example: Q24H (every day),Perm
SUDOSTOT,Total Daily Consumption,Num,,Record Qualifier,"Total daily use of SUTRT using the units in SUDOSU. Used when dosing is collected as Total Daily Dose. If sponsor needs to aggregate the data over a period
other than daily, then the aggregated total could be recorded in a Supplemental Qualifier variable.",Perm
SUROUTE,Route of Administration,Char,(ROUTE),"Variable
Qualifier","Route of administration for SUTRT. Examples: ORAL, INTRAVENOUS.",Perm
SUSTDTC,Start Date/Time of Substance Use,Char,ISO 8601,Timing,,Perm
SUENDTC,End Date/Time of Substance Use,Char,ISO 8601,Timing,,Perm
SUSTDY,Study Day of Start of Substance Use,Num,,Timing,Study day of start of substance use relative to the sponsor-defined RFSTDTC.,Perm
SUENDY,Study Day of End of Substance Use,Num,,Timing,Study day of end of substance use relative to the sponsor-defined RFSTDTC.,Perm
SUDUR,Duration of Substance Use,Char,ISO 8601,Timing,Collected duration of substance use in ISO 8601 format. Used only if collected on the CRF and not derived from start and end date/times.,Perm
SUSTRF,Start Relative to Reference Period,Char,(STENRF),Timing,"Describes the start of the substance use relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be
translated into SUSTRF.",Perm
SUENRF,End Relative to Reference Period,Char,(STENRF),Timing,"Describes the end of the substance use with relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information
may be translated into SUENRF.",Perm
SUSTRTPT,Start Relative to Reference Time Point,Char,(STENRF),Timing,Identifies the start of the substance as being before or after the reference time point defined by variable SUSTTPT.,Perm
SUSTTPT,Start Reference Time Point,Char,,Timing,"Description or date/time in ISO 8601 character format of the reference point referred to by SUSTRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".",Perm
SUENRTPT,End Relative to Reference Time Point,Char,(STENRF),Timing,Identifies the end of the substance as being before or after the reference time point defined by variable SUENTPT.,Perm
SUENTPT,End Reference Time Point,Char,,Timing,"Description or date/time in ISO 8601 character format of the reference point referred to by SUENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".",Perm
