Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,CDISC Notes,Core
QSEVAL,Evaluator,Char,(EVAL),"Record
Qualifier","Role of the person who provided the evaluation.  Examples:  STUDY
SUBJECT, CAREGIVER, INVESTIGATOR.",Perm
VISITNUM,Visit Number,Num,,Timing,"1. Clinical encounter number.
2. Numeric version of VISIT, used for sorting.",Exp
VISIT,Visit Name,Char,,Timing,"1. Protocol-defined description of clinical encounter.
2. May be used in addition to VISITNUM and/or VISITDY.",Perm
VISITDY,Planned Study Day of Visit,Num,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
QSDTC,Date/Time of Finding,Char,ISO 8601,Timing,Date of questionnaire.,Exp
QSDY,Study Day of Finding,Num,,Timing,"1. Study day of finding collection, measured as integer days.
2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics.",Perm
QSTPT,Planned Time Point Name,Char,,Timing,"1. Text Description of time when questionnaire should be administered.
2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See QSTPTNUM and QSTPTREF.",Perm
QSTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of QSTPT to aid in sorting.,Perm
QSELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned Elapsed time (in ISO 8601) relative to a planned fixed reference (QSTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration.
Examples: “-PT15M” to represent the period of 15 minutes prior to the reference point indicated by QSTPTREF, or “PT8H” to represent the
period of 8 hours after the reference point indicated by QSTPTREF.",Perm
QSTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by QSELTM, QSTPTNUM, and
QSTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
QSRFTDTC,"Date/Time of Reference
Time Point",Char,ISO 8601,Timing,"Date/time of the reference time point, LBTPTREF.",Perm
QSEVLINT,Evaluation Interval,Char,ISO 8601,Timing,"Evaluation Interval associated with a QSTEST question represented in ISO 8601
character format. Example: ""-P2Y"" to represent an interval of 2 years in the question ""Have you experienced any episodes in the past 2 years?""",Perm
