Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,CDISC Notes,Core
PCNAM,Vendor Name,Char,,"Record
Qualifier",Name or identifier of the laboratory or vendor who provides the test results.,Exp
PCSPEC,Specimen Material Type,Char,(SPECTYPE),"Record
Qualifier","Defines the type of specimen used for a measurement. Examples: SERUM,
PLASMA, URINE.",Exp
PCSPCCND,Specimen Condition,Char,(SPECCOND),"Record
Qualifier","Free or standardized text describing the condition of the specimen e.g.
HEMOLYZED, ICTERIC, LIPEMIC etc.",Perm
PCMETHOD,Method of Test or Examination,Char,(METHOD),Record Qualifier,"Method of the test or examination. Examples include HPLC/MS, ELISA. This should
contain sufficient information and granularity to allow differentiation of various methods that might have been used within a study.",Perm
PCFAST,Fasting Status,Char,(NY),"Record
Qualifier",Indicator used to identify fasting status.,Perm
PCDRVFL,Derived Flag,Char,(NY),Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records that represent the average of other records, which do not come from the CRF, are examples of records that would be derived for the submission datasets. If
PCDRVFL=Y, then PCORRES may be null with PCSTRESC, and (if numeric) PCSTRESN having the derived value.",Perm
PCLLOQ,Lower Limit of Quantitation,Num,,Variable Qualifier,Indicates the lower limit of quantitation for an assay. Units should be those used in PCSTRESU.,Exp
PCULOQ,Upper Limit of Quantitation,Num,,"Variable
Qualifier","Indicates the upper limit of quantitation for an assay. Units should be those used in
PCSTRESU.",Perm
VISITNUM,Visit Number,Num,,Timing,"1. Clinical encounter number.
2. Numeric version of VISIT, used for sorting.",Exp
VISIT,Visit Name,Char,,Timing,"1. Protocol-defined description of clinical encounter
2. May be used in addition to VISITNUM and/or VISITDY",Perm
VISITDY,Planned Study Day of Visit,Num,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
PCDTC,Date/Time of Specimen Collection,Char,ISO 8601,Timing,"Date/time of specimen collection represented in ISO 8601 character format. If there is no end time, then this will be the collection time.",Exp
PCENDTC,End Date/Time of Specimen Collection,Char,ISO 8601,Timing,"End date/time of specimen collection represented in ISO 8601 character format. If
there is no end time, the collection time should be stored in PCDTC, and PCENDTC should be null.",Perm
PCDY,Actual Study Day of Specimen Collection,Num,,Timing,"1. Study day of specimen collection, measured as integer days.
2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics.",Perm
PCTPT,Planned Time Point Name,Char,,Timing,"1. Text Description of time when specimen should be taken.
2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See PCTPTNUM and PCTPTREF. Examples: Start, 5 min post.",Perm
PCTPTNUM,"Planned Time Point
Number",Num,,Timing,Numerical version of PCTPT to aid in sorting.,Perm
PCELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,Planned elapsed time (in ISO 8601) relative to a planned fixed reference (PCTPTREF) such as “PREVIOUS DOSE” or “PREVIOUS MEAL”. This variable is useful where there are repetitive measures. Not a clock time or a date time variable.,Perm
PCTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point used as a basis for PCTPT, PCTPTNUM, and PCELTM. Example: Most Recent Dose.",Perm
PCRFTDTC,"Date/Time of Reference
Point",Char,ISO 8601,Timing,Date/time of the reference time point described by PCTPTREF.,Perm
PCEVLINT,Evaluation Interval,Char,ISO 8601,Timing,"Evaluation Interval associated with a PCTEST record represented in ISO 8601 character format. Example: ""-P2H"" to represent an interval of 2 hours prior to a
PCTPT.",Perm
