Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,CDISC Notes,Core
MBSTRESN,Numeric Result/Finding in Standard Units,Num,,Result Qualifier,"Used for continuous or numeric results or findings in standard format; copied in numeric format from MBSTRESC. MBSTRESN should store all numeric test
results or findings.",Perm
MBSTRESU,Standard Units,Char,(UNIT),"Variable
Qualifier",Standardized unit used for MBSTRESC and MBSTRESN.,Perm
MBRESCAT,Result Category,Char,*,Variable Qualifier,"Used to categorize the result of a finding in a standard format. Example for ORGANISM finding: INFECTING, COLONIZER, CONTAMINANT, or
NORMAL FLORA.",Exp
MBSTAT,Completion Status,Char,(ND),"Record
Qualifier","Used to indicate Microbiology was not done, or a test was not done. Should be
null or have a value of NOT DONE.",Perm
MBREASND,"Reason Microbiology Not
Performed",Char,,"Record
Qualifier","Reason not done. Used in conjunction with MBSTAT when value is NOT DONE.
Examples: BROKEN EQUIPMENT or SUBJECT REFUSED.",Perm
MBNAM,Vendor Name,Char,,"Record
Qualifier",Name or identifier of the laboratory or vendor who provides the test results.,Perm
MBLOINC,LOINC Code,Char,*,Synonym Qualifier,"1. Dictionary-derived LOINC Code for MBTEST.
2. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes",Perm
MBSPEC,Specimen Type,Char,(SPECTYPE),"Record
Qualifier","Defines the type of specimen used for a measurement. Examples: SPUTUM,
BLOOD, PUS.",Perm
MBSPCCND,Specimen Condition,Char,(SPECCOND),"Record
Qualifier","Free or standardized text describing the condition of the specimen. Example:
CONTAMINATED.",Perm
MBLOC,Specimen Collection Location,Char,(LOC),"Record
Qualifier","Location relevant to the collection of the measurement. Examples: LUNG, VEIN,
ARM, FOOT",Perm
MBMETHOD,"Method of Test or
Examination",Char,(METHOD),"Record
Qualifier","Method of the test or examination. Example: GRAM STAIN,  MACRO BROTH
DILUTION, AGAR DILUTION",Exp
MBBLFL,Baseline Flag,Char,(NY),"Record
Qualifier",Indicator used to identify a baseline value. The value should be “Y” or null.,Perm
MBDRVFL,Derived Flag,Char,(NY),Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records that represent the average of other records or some other derivation, and those that do not come from the CRF, are examples of records that would be derived for the
submission datasets. If MBDRVFL=Y, then MBORRES may be null with MBSTRESC and (if numeric) MBSTRESN having the derived value.",Perm
VISITNUM,Visit Number,Num,,Timing,"1. Clinical encounter number.
2. Numeric version of VISIT, used for sorting.",Exp
VISIT,Visit Name,Char,,Timing,"1. Protocol-defined description of clinical encounter.
2. May be used in addition to VISITNUM and/or VISITDY.",Perm
VISITDY,Planned Study Day of Visit,Num,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
MBDTC,"Date/Time of Specimen
Collection",Char,ISO 8601,Timing,,Exp
MBDY,Study Day of MB Specimen Collection,Num,,Timing,"1. Study day of the specimen collection, measured as integer days.
2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the
submission.",Perm
MBTPT,Planned Time Point Name,Char,,Timing,"1. Text Description of time when specimen should be taken.
2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See MBTPTNUM and MBTPTREF. Examples: Start, 5
min post.",Perm
MBTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of MBTPT to aid in sorting.,Perm
MBELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned elapsed time (in ISO 8601) relative to a planned fixed reference (MBTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration.
Examples: “-PT15M” to represent the period of 15 minutes prior to the reference point indicated by MBTPTREF, or “PT8H” to represent the period of 8 hours after the reference point indicated by MBTPTREF.",Perm
MBTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by MBELTM, MBTPTNUM, and
MBTPT. Example: PREVIOUS DOSE.",Perm
MBRFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,"Date/time of the reference time point, MBTPTREF.",Perm
