Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,CDISC Notes,Core
AEBDSYCD,Body System or Organ Class Code,Num,MedDRA,Variable Qualifier,"Dictionary derived. Code for the body system or organ class used by the sponsor. When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor’s analyses and summary tables, which may not necessarily be the primary SOC.",Exp
AESOC,"Primary System Organ
Class",Char,MedDRA,"Variable
Qualifier","Dictionary-derived text description of the primary System Organ Class. Will be
the same as AEBODSYS if the primary SOC was used for analysis.",Exp
AESOCCD,"Primary System Organ
Class Code",Num,MedDRA,"Variable
Qualifier","Dictionary-derived code for the primary System Organ Class. Will be the same
as AEBDSYCD if the primary SOC was used for analysis.",Exp
AELOC,Location of Event,Char,(LOC),"Record
Qualifier","Describes anatomical location relevant for the event (e.g., ARM for skin rash).",Perm
AESEV,Severity/Intensity,Char,(AESEV),Record Qualifier,"The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE.",Perm
AESER,Serious Event,Char,(NY),"Record
Qualifier",Is this a serious event?,Exp
AEACN,Action Taken with Study Treatment,Char,(ACN),Record Qualifier,"Describes changes to the study treatment as a result of the event. AEACN is specifically for the relationship to study treatment. AEACNOTH is for actions unrelated to dose adjustments of study treatment. Examples of AEACN values include ICH E2B values: DRUG WITHDRAWN, DOSE REDUCED, DOSE
INCREASED, DOSE NOT CHANGED, UNKNOWN or NOT APPLICABLE.",Exp
AEACNOTH,Other Action Taken,Char,,Record Qualifier,"Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment. Usually reported as free text. Example:
“TREATMENT UNBLINDED. PRIMARY CARE PHYSICIAN NOTIFIED.”",Perm
AEREL,Causality,Char,*,Record Qualifier,"Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED. Controlled Terminology may be defined in the future. Check with regulatory authority for population of this
variable.",Exp
AERELNST,Relationship to Non-Study Treatment,Char,,Record Qualifier,"Records the investigator's opinion as to whether the event may have been due to
a treatment other than study drug. May be reported as free text. Example: ""MORE LIKELY RELATED TO ASPIRIN USE.”.",Perm
AEPATT,Pattern of Adverse Event,Char,*,"Record
Qualifier","Used to indicate the pattern of the event over time. Examples: INTERMITTENT,
CONTINUOUS, SINGLE EVENT.",Perm
AEOUT,Outcome of Adverse Event,Char,(OUT),"Record
Qualifier",Description of the outcome of an event.,Perm
AESCAN,Involves Cancer,Char,(NY),"Record
Qualifier",Was the serious event associated with the development of cancer?,Perm
AESCONG,"Congenital Anomaly or
Birth Defect",Char,(NY),"Record
Qualifier",Was the serious event associated with congenital anomaly or birth defect?,Perm
AESDISAB,"Persist or Signif
Disability/Incapacity",Char,(NY),"Record
Qualifier",Did the serious event result in persistent or significant disability/incapacity?,Perm
AESDTH,Results in Death,Char,(NY),Record Qualifier,Did the serious event result in death?,Perm
AESHOSP,"Requires or Prolongs
Hospitalization",Char,(NY),"Record
Qualifier",Did the serious event require or prolong hospitalization?,Perm
AESLIFE,Is Life Threatening,Char,(NY),"Record
Qualifier",Was the serious event life threatening?,Perm
AESOD,Occurred with Overdose,Char,(NY),Record Qualifier,Did the serious event occur with an overdose?,Perm
AESMIE,"Other Medically Important
Serious Event",Char,(NY),"Record
Qualifier",Do additional categories for seriousness apply?,Perm
AECONTRT,"Concomitant or Additional
Trtmnt Given",Char,(NY),"Record
Qualifier",Was another treatment given because of the occurrence of the event?,Perm
AETOXGR,Standard Toxicity Grade,Char,*,Record Qualifier,"Toxicity grade according to a standard toxicity scale such as Common Terminology Criteria for Adverse Events v3.0 (CTCAE). Sponsor should specify name of the scale and version used in the metadata (see Assumption 6d). If value is from a numeric scale, represent only the number (e.g., “2” and not “Grade 2”).",Perm
AESTDTC,"Start Date/Time of Adverse
Event",Char,ISO 8601,Timing,,Exp
AEENDTC,"End Date/Time of Adverse
Event",Char,ISO 8601,Timing,,Exp
AESTDY,"Study Day of Start of
Adverse Event",Num,,Timing,Study day of start of adverse event relative to the sponsor-defined RFSTDTC.,Perm
AEENDY,"Study Day of End of
Adverse Event",Num,,Timing,Study day of end of event relative to the sponsor-defined RFSTDTC.,Perm
AEDUR,Duration of Adverse Event,Char,ISO 8601,Timing,"Collected duration and unit of an adverse event. Used only if collected on the
CRF and not derived from start and end date/times. Example: P1DT2H (for 1 day, 2 hours).",Perm
AEENRF,End Relative to Reference Period,Char,(STENRF),Timing,"Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a
discrete starting point (RFSTDTC) and a discrete ending point (RFENDTC) of the trial.",Perm
AEENRTPT,End Relative to Reference Time Point,Char,(STENRF),Timing,Identifies the end of the event as being before or after the reference time point defined by variable AEENTPT.,Perm
AEENTPT,End Reference Time Point,Char,,Timing,"Description of date/time in ISO 8601 character format of the reference point
referred to by AEENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".",Perm
