Variable Name,,Variable Label,Type,Codelist/ Controlled Terms,Core,CDISC Notes
BASEC,,Baseline Value (C),Char,,Perm,"The subject's baseline value of AVALC for a parameter and baseline definition (i.e., BASETYPE) if present. May be needed when AVALC is of interest. BASEC contains the value of AVALC copied from a record within the parameter on which ABLFL = ""Y"". If both AVAL and AVALC are populated within a parameter, the baseline record for AVALC must be the same record as that for AVAL.
Within a given parameter, if there exists a row on which both BASEC and BASE are populated, then there must be a one-to-one relationship between BASEC and BASE on all rows on which both variables are populated. (In other words, there is no requirement that records with a null value in either BASE or BASEC be included when determining whether the one-to-one relationship requirement is satisfied.) On a given record, it is permissible for BASE, BASEC, or both to be null."
BASECATy,,Baseline Category y,Char,,Perm,"A categorization of BASE or BASEC within a parameter. Not necessarily a one-to-one mapping to BASE or BASEC. For example, if PARAM is ""Headache Severity"" and AVAL has values 0, 1, 2, or 3, BASECAT1 can categorize BASE into ""None or Mild"" (for BASE 0 or 1) and ""Moderate or Severe"" (for BASE 2 or 3)."
BASECAyN,,Baseline Category y (N),Num,,Perm,"Numeric representation of BASECATy. Useful for ordering of values of BASECATy or for other purposes. There must be a one-to- one relationship between BASECAyN and BASECATy within a parameter. BASECAyN cannot be present unless BASECATy is also present. When BASECATy and BASECAyN are present, then on a given record, either both must be populated or both must be null."
BASETYPE,,Baseline Type,Char,,Cond,"Producer-defined text describing the definition of baseline relevant to the value of BASE on the current record. Required when there are multiple ways that baseline is defined. If used for any PARAM within a dataset, should be non-null for all records for that PARAM within that dataset. Refer to Section 4.2.1.6, Rule 6, for an example."
CHG,,Change from Baseline,Num,,Perm,"Change from baseline analysis value. Equal to AVAL-BASE. If used for a given PARAM, should be populated for all post-baseline records of that PARAM regardless of whether that record is used for analysis. The decision on how to populate pre-baseline and baseline values of CHG is left to producer choice."
CHGCATy,,Change from Baseline Category y,Char,,Perm,"A categorization of CHG within a parameter. Not necessarily a one- to-one mapping to CHG. The definition of CHGCATy may vary by PARAM. For example, CHGCAT1 may be used to categorize CHG with respect to ranges of change in SYSBP; ""-10 to -5 mm Hg"", ""-5 to 0 mm Hg"" categories."
CHGCATyN,,Change from Baseline Category y (N),Num,,Perm,"Numeric representation of CHGCATy. Useful for ordering of values of CHGCATy or for other purposes. There must be a one-to-one relationship between CHGCATyN and CHGCATy within a parameter.
CHGCATyN cannot be present unless CHGCATy is also present. When CHGCATy and CHGCATyN are present, then on a given record, either both must be populated or both must be null."
PCHG,,Percent Change from Baseline,Num,,Perm,"Percent change from baseline analysis value. Equal to ((AVAL- BASE)/BASE)*100. If used for a given PARAM, should be populated (when calculable) for all post-baseline records of that PARAM regardless of whether that record is used for analysis. The decision on how to populate pre-baseline and baseline values of PCHG is left to producer choice."
PCHGCATy,,Percent Chg from Baseline Category y,Char,,Perm,"A categorization of PCHG within a parameter. Not necessarily a one-to-one mapping to PCHG. The definition of PCHGCATy may vary by PARAM. For example, PCHGCAT1 may be used to categorize PCHG with respect to ranges of change in SYSBP; "">5%"", "">10%"" categories."
PCHGCAyN,,Percent Chg from Baseline Category y (N),Num,,Perm,"Numeric representation of PCHGCATy. Useful for ordering of values of PCHGCATy or for other purposes. There must be a one- to-one relationship between PCHGCAyN and PCHGCATy within a parameter.
PCHGCAyN cannot be present unless PCHGCATy is also present. When PCHGCATy and PCHGCAyN are present, then on a given record, either both must be populated or both must be null."
R2BASE,,Ratio to Baseline,Num,,Perm,"Ratio to the baseline value. Equal to AVAL / BASE. If used for a given PARAM, should be populated for all post-baseline records of that PARAM regardless of whether that record is used for analysis. The decision on how to populate pre-baseline and baseline values of R2BASE is left to producer choice."
R2AyLO,,Ratio to Analysis Range y Lower Limit,Num,,Perm,"Ratio to the lower limit of the analysis range y. Equal to AVAL / AyLO. AyLO must exist in the ADaM dataset. If used for a given PARAM, should be populated for all post-baseline records of that PARAM regardless of whether that record is used for analysis. The decision on how to populate pre-baseline and baseline values of R2AyLO is left to producer choice."
R2AyHI,,Ratio to Analysis Range y Upper Limit,Num,,Perm,"Ratio to the upper limit of the analysis range y. Equal to AVAL / AyHI. AyHI must exist in the ADaM dataset. If used for a given PARAM, should be populated for all post-baseline records of that PARAM regardless of whether that record is used for analysis. The decision on how to populate pre-baseline and baseline values of R2AyHI is left to producer choice."
SHIFTy,,Shift y,Char,,Perm,"A shift in values depending on the defined pairing for group y within a parameter. SHIFTy can only be based on the change in value of any of the following pairs (BASECATy, AVALCATy), (BNRIND, ANRIND), (ByIND, AyIND), (BTOXGR, ATOXGR), (BTOXGRL, ATOXGRL), (BTOXGRH, ATOXGRH), (BASE, AVAL) or
(BASEC, AVALC). Useful for shift tables. For example, ""NORMAL to HIGH"". If used for a given PARAM, should be populated (when calculable) for all post-baseline records of that PARAM regardless of whether that record is used for analysis. The decision on how to populate baseline and pre-baseline values of SHIFTy is left to producer choice."
SHIFTyN,,Shift y (N),Num,,Perm,"Numeric representation of SHIFTy. There must be a one-to-one relationship between SHIFTyN and SHIFTy within a parameter.SHIFTyN cannot be present unless SHIFTy is also present. When SHIFTy and SHIFTyN are present, then on a given record, either both must be populated or both must be null.If SHIFTyN is used for a given PARAM, SHIFTy and SHIFTyN should be populated (when calculable) for all post-baseline records of that PARAM regardless of whether that record is used for analysis."
BCHG,,Change to Baseline,Num,,Perm,"Change to baseline analysis value. Equal to BASE-AVAL. If used for a given PARAM, should be populated for all post-baseline records of that PARAM regardless of whether that record is used for analysis. The decision on how to populate pre-baseline and baseline values of BCHG is left to producer choice."
BCHGCATy,,Change to Baseline Category y,Char,,Perm,"A categorization of BCHG within a parameter. Not necessarily a one-to-one mapping to BCHG. The definition of BCHGCATy may vary by PARAM. For example, BCHGCAT1 may be used to categorize BCHG with respect to ranges of change in SYSBP; ""-10 to -5 mm Hg"", ""-5 to 0 mm Hg"" categories."
BCHGCAyN,,Change to Baseline Category y (N),Num,,Perm,"Numeric representation of BCHGCATy. Useful for ordering of values of BCHGCATy or for other purposes. There must be a one- to-one relationship between BCHGCAyN and BCHGCATy within a parameter.
BCHGCAyN cannot be present unless BCHGCATy is also present. When BCHGCATy and BCHGCAyN are present, then on a given record, either both must be populated or both must be null."
PBCHG,,Percent Change to Baseline,Num,,Perm,"Percent change to baseline analysis value. Equal to ((BASE- AVAL)/AVAL)*100. If used for a given PARAM, should be populated (when calculable) for all post-baseline records of that PARAM regardless of whether that record is used for analysis. The decision on how to populate pre-baseline and baseline values of PBCHG is left to producer choice"
PBCHGCAy,,Percent Change to Baseline Category y,Char,,Perm,"A categorization of PBCHG within a parameter. Not necessarily a one-to-one mapping to PBCHG. The definition of PBCHGCAy may vary by PARAM. For example, PBCHGCA1 may be used to categorize PBCHG with respect to ranges of change in SYSBP; "">5%"", "">10%"" categories."
PBCHGCyN,,Percent Change to Baseline Category y (N),Num,,Perm,"Numeric representation of PBCHGCAy. Useful for ordering of values of PBCHGCAy or for other purposes. There must be a one- to-one relationship between PBCHGCyN and PBCHGCAy within a parameter.
PBCHGCyN cannot be present unless PBCHGCAy is also present. When PBCHGCAy and PBCHGCyN are present, then on a given record, either both must be populated or both must be null."
