Variable Name ,Variable Label ,Type,"Controlled
Terms, Codelist
or Format",Role,CDISC Notes,Core
CMCLASCD ,Medication Class Code,Char ,*,"Variable
Qualifier","Class code corresponding to CMCLAS. Drug class. May be obtained from
coding. When coding to a single class, populate with class code. If using a
dictionary and coding to multiple classes, then follow Section 4: 4.1.2.8.3,
Multiple Values For A Non-Result Qualifier Variable or omit CMCLASCD.",Perm
CMDOSE ,Dose per Administration,Num,,"Record
Qualifier",Amount of CMTRT taken. Not populated when CMDOSTXT is populated.,Perm
CMDOSTXT ,Dose Description,Char,,"Record
Qualifier","Dosing amounts or a range of dosing information collected in text form. Units
may be stored in CMDOSU. Example: 200-400, 15-20. Not populated when
CMDOSE is populated.",Perm
CMDOSU ,Dose Units,Char ,(UNIT),"Variable
Qualifier","Units for CMDOSE, CMDOSTOT, and CMDOSTXT. Examples: ng, mg, or
mg/kg.",Perm
CMDOSFRM ,Dose Form,Char ,(FRM),"Variable
Qualifier","Dose form for CMTRT. Examples: TABLET, LOTION.",Perm
CMDOSFRQ ,"Dosing Frequency per
Interval",Char ,(FREQ),"Variable
Qualifier","Usually expressed as the number of repeated administrations of CMDOSE within a
specific time period. Examples: BID (twice daily), Q12H (every 12 hours).",Perm
CMDOSTOT ,Total Daily Dose,Num,,"Record
Qualifier","Total daily dose of CMTRT using the units in CMDOSU. Used when dosing is
collected as Total Daily Dose. Total dose over a period other than day could be
recorded in a separate Supplemental Qualifier variable.",Perm
CMDOSRGM ,Intended Dose Regimen,Char,,"Variable
Qualifier","Text description of the (intended) schedule or regimen for the Intervention.
Examples: TWO WEEKS ON, TWO WEEKS OFF.",Perm
CMROUTE ,Route of Administration,Char ,(ROUTE),"Variable
Qualifier","Route of administration for CMTRT. Examples: ORAL, INTRAVENOUS.",Perm
CMSTDTC ,"Start Date/Time of
Medication",Char ,ISO 8601,Timing,,Perm
CMENDTC ,"End Date/Time of
Medication",Char ,ISO 8601,Timing,,Perm
CMSTDY ,"Study Day of Start of
Medication",Num,,Timing ,Study day of start of medication relative to the sponsor-defined RFSTDTC.,Perm
CMENDY ,"Study Day of End of
Medication",Num,,Timing ,Study day of end of medication relative to the sponsor-defined RFSTDTC.,Perm
CMDUR ,Duration of Medication,Char ,ISO 8601,Timing ,"Collected duration for a treatment episode. Used only if collected on the CRF
and not derived from start and end date/times.",Perm
CMSTRF ,"Start Relative to Reference
Period",Char ,(STENRF),Timing ,"Describes the start of the medication relative to sponsor-defined reference period
The sponsor-defined reference period is a continuous period of time defined by a
discrete starting point and a discrete ending point (represented by RFSTDTC and
RFENDTC in Demographics). If information such as ""PRIOR"", ONGOING or
""CONTINUING"" was collected, this information may be translated into
CMSTRF.",Perm
CMENRF ,"End Relative to Reference
Period",Char ,(STENRF),Timing ,"Describes the end of the medication relative to the sponsor-defined reference
period. The sponsor-defined reference period is a continuous period of time
defined by a discrete starting point and a discrete ending point (represented by
RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"",
""ONGOING, or ""CONTINUING"" was collected, this information may be
translated into CMENRF.",Perm
CMSTRTPT ,"Start Relative to Reference
Time Point",Char ,(STENRF),Timing ,"Identifies the start of the medication as being before or after the reference time
point defined by variable CMSTTPT.",Perm
CMSTTPT ,Start Reference Time Point,Char,,Timing ,"Description or date/time in ISO 8601 character format of the reference point
referred to by CMSTRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".",Perm
CMENRTPT ,"End Relative to Reference
Time Point",Char ,(STENRF),Timing ,"Identifies the end of the medication as being before or after the reference time
point defined by variable CMENTPT.",Perm
CMENTPT ,End Reference Time Point,Char,,Timing ,"Description or date/time in ISO 8601 character format of the reference point
referred to by CMENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".",Perm
