Variable Name,Variable Label,Type,"Controlled Terms, Codelist or
Format",Role,CDISC Notes,Core
PRDOSE,Dose,Num,,Record Qualifier,Amount of PRTRT administered. Not populated when PRDOSTXT is populated.,Perm
PRDOSTXT,Dose Description,Char,,Record Qualifier,"Dosing information collected in text form. Examples: <1, 200-400. Not
populated when PRDOSE is populated.",Perm
PRDOSU,Dose Units,Char,(UNIT),Variable Qualifier,"Units for PRDOSE, PRDOSTOT, or PRDOSTXT.",Perm
PRDOSFRM,Dose Form,Char,(FRM),Variable Qualifier,Dose form for PRTRT.,Perm
PRDOSFRQ,"Dosing Frequency per
Interval",Char,(FRQ),Variable Qualifier,Usually expressed as the number of doses given per a specific interval.,Perm
PRDOSRGM,Intended Dose Regimen,Char,,Variable Qualifier,Text description of the intended schedule or regimen for the procedure.,Perm
PRROUTE,Route of Administration,Char,(ROUTE),Variable Qualifier,Route of administration for PRTRT.,Perm
PRLOC,Location of Procedure,Char,(LOC),Record Qualifier,Anatomical location of a procedure.,Perm
PRLAT,Laterality,Char,(LAT),Variable Qualifier,Qualifier for anatomical location or specimen further detailing laterality.,Perm
PRDIR,Directionality,Char,(DIR),Variable Qualifier,Qualifier for anatomical location or specimen further detailing directionality.,Perm
PRPORTOT,Portion or Totality,Char,(PORTOT),Variable Qualifier,"Qualifier for anatomical location or specimen further detailing the
distribution, which means arrangement of, apportioning of.",Perm
VISITNUM,Visit Number,Num,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Perm
VISIT,Visit Name,Char,,Timing,Protocol-defined description of a clinical encounter.,Perm
VISITDY,"Planned Study Day of
Visit",Num,,Timing,Planned study day of VISIT. Should be an integer.,Perm
PRSTDTC,"Start Date/Time of
Procedure",Char,ISO 8601,Timing,"Start date/time of the procedure represented in ISO 8601 character
format.",Exp
PRENDTC,End Date/Time of Procedure,Char,ISO 8601,Timing,End date/time of the procedure represented in ISO 8601 character format.,Perm
PRSTDY,"Study Day of Start of
Procedure",Num,,Timing,"Study day of start of procedure expressed in integer days relative to the
sponsor-defined RFSTDTC in Demographics.",Perm
PRENDY,"Study Day of End of
Procedure",Num,,Timing,"Study day of end of procedure expressed in integer days relative to the
sponsor-defined RFSTDTC in Demographics.",Perm
PRDUR,Duration of Procedure,Char,ISO 8601,Timing,"Collected duration of a procedure represented in ISO 8601 character format. Used only if collected on the CRF and not derived from start and
end date/times.",Perm
PRTPT,Planned Time Point Name,Char,,Timing,"Text description of time when a procedure should be performed. This
may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See PRTPTNUM and PRTPTREF.",Perm
PRTPTNUM,"Planned Time Point
Number",Num,,Timing,Numerical version of planned time point used in sorting.,Perm
PRELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned elapsed time in ISO 8601 format relative to a planned fixed reference (PRTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date/time variable, but an
interval, represented as ISO duration.",Perm
PRTPTREF,Time Point Reference,Char,,Timing,"Description of the fixed reference point referred to by PRELTM,
PRTPTNUM, and PRTPT.",Perm
PRRFTDTC,"Date/Time of Reference
Time Point",Char,ISO 8601,Timing,"Date/time for a fixed reference time point defined by PRTRTREF in
ISO 8601 character format.",Perm
PRSTRTPT,Start Relative to Reference Time Point,Char,"BEFORE, COINCIDENT,
AFTER, U",Timing,Identifies the start of the observation as being before or after the sponsor-defined reference time point defined by variable PRSTTPT.,Perm
PRSTTPT,Start Reference Time Point,Char,,Timing,"Description or date/time in ISO 8601 character format of the sponsor- defined reference point referred to by PRSTRTPT. Examples: “2003-12-
15” or “VISIT 1”.",Perm
PRENRTPT,End Relative to Reference Time Point,Char,"BEFORE, COINCIDENT, AFTER, ONGOING, U",Timing,Identifies the end of the observation as being before or after the sponsor- defined reference time point defined by variable PRENTPT.,Perm
PRENTPT,End Reference Time Point,Char,,Timing,"Description or date/time in ISO 8601 character format of the sponsor- defined reference point referred to by PRENRTPT. Examples: “2003-
12-25” or “VISIT 2”.",Perm
