Variable Name,Variable Label,Type,Role,Description
--LOC,Location Used for the Measurement,Char,Record Qualifier,"Anatomical location of the subject relevant to the collection of the measurement. Examples: ""RECTAL"" for temperature, ""ARM"" for blood pressure."
--LAT,Laterality,Char,Variable Qualifier of --LOC,"Qualifier for anatomical location or specimen further detailing laterality. Examples: ""RIGHT"", ""LEFT"", ""BILATERAL""."
--DIR,Directionality,Char,Variable Qualifier of --LOC,"Qualifier for anatomical location or specimen further detailing directionality. Examples: ""ANTERIOR"", ""LOWER"", ""PROXIMAL""."
--PORTOT,Portion or Totality,Char,Variable Qualifier of --LOC,"Qualifier for anatomical location or specimen further detailing the distribution, which means arrangement of, apportioning of. Examples: ""ENTIRE"", ""SINGLE"", ""SEGMENT"", ""MANY""."
--METHOD,Method of Test or Examination,Char,Record Qualifier,"Method of the test or examination. Examples: ""EIA"" (enzyme immunoassay), ""ELECTROPHORESIS"", ""DIPSTICK""."
--RUNID,Run ID,Char,Record Qualifier,A unique identifier for a particular run of a test on a particular batch of samples.
--ANMETH,Analysis Method,Char,Record Qualifier,"Analysis method applied to obtain a summarized result. Analysis method describes the method of secondary processing applied to a complex observation result (e.g., an image or a genetic sequence)."
--LEAD,Lead Identified to Collect Measurements,Char,Record Qualifier,"Lead or leads identified to capture the measurement for a test from an instrument. Examples: ""LEAD I"", ""LEAD V2"", ""LEAD CM5""."
--CSTATE,Consciousness State,Char,Record Qualifier,"The consciousness state of the subject at the time of measurement. Examples: ""CONSCIOUS"", ""SEMI-CONSCIOUS"", ""UNCONSCIOUS""."
--LOBXFL,Last Observation Before Exposure Flag,Char,Record Qualifier,"Operationally-derived indicator used to identify the last non-missing value prior to RFXSTDTC. Should be ""Y"" or null."
--BLFL,Baseline Flag,Char,Record Qualifier,"Indicator used to identify a baseline value. Should be ""Y"" or null."
--FAST,Fasting Status,Char,Record Qualifier,"Indicator used to identify fasting status. Valid values include ""Y"", ""N"", ""U"", or null if not relevant."
--DRVFL,Derived Flag,Char,Record Qualifier,"Used to indicate a derived record (e.g., a record that represents the average of other records such as a computed baseline). Should be ""Y"" or null."
--EVAL,Evaluator,Char,Record Qualifier,"Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Examples: ""ADJUDICATION COMMITTEE"", ""INDEPENDENT ASSESSOR"", ""RADIOLOGIST""."
--EVALID,Evaluator Identifier,Char,Variable Qualifier of --EVAL,"Used to distinguish multiple evaluators with the same role recorded in --EVAL. Examples: ""RADIOLOGIST1"", ""RADIOLOGIST2""."
--ACPTFL,Accepted Record Flag,Char,Record Qualifier,"In cases where more than one assessor provides an evaluation of a result or response, this flag identifies the record that is considered to be the accepted evaluation. Expected values can include ""Y"", ""N"", or null. This is not intended to be an analysis flag to indicate acceptability for a given analysis."
--TOX,Toxicity,Char,Variable Qualifier of --TOXGR,"Description of toxicity quantified by --TOXGR such as NCI CTCAE Short Name. Examples: ""HYPERCALCEMIA"", ""HYPOCALCEMIA"". Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define-XML document."
--TOXGR,Toxicity Grade,Char,Record Qualifier,Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define data definition document. Example: 2.
--SEV,Severity,Char,Record Qualifier,"Describes the severity or intensity of a particular finding. Examples: ""MILD"", ""MODERATE"", ""SEVERE""."
--DTHREL,Relationship to Death,Char,Record Qualifier,"Describes the relationship of a particular finding to the death of a subject. Examples: ""Y"", ""N"", or ""U"". Not to be used with human clinical trials."
--LLOQ,Lower Limit of Quantitation,Num,Variable Qualifier of --STRESC and --STRESN,Indicates the lower limit of quantitation for an assay. Units will be those used for --STRESU.
--ULOQ,Upper Limit of Quantitation,Num,Variable Qualifier of --STRESC and --STRESN,Indicates the upper limit of quantitation for an assay. Units will be those used for --STRESU.
--EXCLFL,Exclude from Statistics,Char,Record Qualifier,"Indicates whether the values in the result variables for this record should be excluded from summary statistical calculations such as Mean, Standard Deviation, and Count (and others). Expected to be Y or null. --EXCLFL should not be used when --STAT is ""NOT DONE"". Not to be used with human clinical trials."
--REASEX,Reason for Exclusion from Statistics,Char,Record Qualifier,"Reason excluded from statistics. Used in conjunction with --EXCLFL when its value is ""Y"". Not to be used with human clinical trials."
--USCHFL,Unscheduled Flag,Char,Record Qualifier,"Indicates whether the timing of a performed test or observation was unscheduled. If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are ""Y"" or null. Not to be used with human clinical trials. This variable would not be needed when information on planned assessments is provided, such as when the Trial Visits (TV) and Subject Visits (SV) domains are used."
--REPNUM,Repetition Number,Num,Record Qualifier,"The instance number of a test that is repeated within a given timeframe for the same test. The level of granularity can vary (e.g., within a time point or within a visit). For example, multiple measurements of blood pressure or multiple analyses of a sample."
